item_id,User
1250,76561197970982479
22200,76561197970982479
43110,76561197970982479
251610,js41637
227300,js41637
239030,js41637
248820,evcentric
370360,evcentric
237930,evcentric
263360,evcentric
107200,evcentric
224500,evcentric
250320,doctr
20920,doctr
204100,doctr
224600,doctr
207610,doctr
108710,doctr
211420,maplemage
211820,maplemage
730,maplemage
204300,maplemage
249130,Wackky
207610,Wackky
550,Wackky
65800,Wackky
220,Wackky
730,76561198079601835
730,MeaTCompany
72850,76561198089393905
440,76561198089393905
252950,76561198156664158
440,76561198077246154
304930,76561198077246154
4000,WeiEDKrSat
42910,thequeenpanda
232090,death-hunter
1250,death-hunter
4000,death-hunter
304930,DJKamBer
570,DJKamBer
218620,DJKamBer
224260,DJKamBer
1250,DJKamBer
440,DJKamBer
730,Rainbow-Dashie
440,Rainbow-Dashie
49520,Rainbow-Dashie
220200,MarbleShrine
211820,PPanther
440,devvonst
218740,devvonst
550,devvonst
220,Fr0stedLine
238090,starkillershadow553
242130,starkillershadow553
277430,starkillershadow553
8870,76561198058373434
368230,76561198048353577
4000,76561198048353577
33930,76561198048353577
219640,76561198066046412
287980,tru_mu_
218620,76561198070565427
208090,76561198070565427
242700,76561198070565427
224260,76561198070565427
221100,SavageEeEe
570,76561198076909484
331470,KanadeTheNeko
4000,KanadeTheNeko
323370,Leaf_Light_Moscow
304930,GoAwayZach
12210,76561198054540475
265210,76561198054540475
48700,76561198054540475
238460,76561198085547365
34900,76561198085547365
730,76561198061252210
113200,OfficialShroomsy
440,boydeer
213670,VVillis
105600,76561198083226897
730,76561198075277292
570,76561198075277292
231180,76561198028895010
620,76561198028895010
271290,76561198170198366
4000,diego9031
317360,diego9031
223710,diego9031
299360,diego9031
322330,diego9031
1250,diego9031
12100,diego9031
204360,diego9031
440,diego9031
224260,diego9031
440,jarrodtrim
304930,76561198078738103
440,76561198067936203
1840,76561198079770573
440,76561198087586464
440,Derp-e
233250,76561198070194565
449140,76561198070194565
368730,76561198070194565
246280,76561198070194565
427270,76561198070194565
397100,76561198070194565
248570,76561198070194565
298630,Rivtex
244210,UTNerd24
440,UTNerd24
376920,UTNerd24
257750,UTNerd24
221910,UTNerd24
2280,UTNerd24
218620,76561198138053270
218620,lucaswerg
222880,lucaswerg
377160,Life-Of-Blu
211820,Life-Of-Blu
252490,CaptianAutismo
440,76561198075895633
242920,TheDropix101
251990,kube134
252950,iamthekingofbrowntown
236430,iamthekingofbrowntown
399730,iamthekingofbrowntown
550,MainScout
377160,yookobz
219150,yookobz
277430,Posiblydead
239820,Posiblydead
17410,Posiblydead
440,Mossy_Gaming
270550,76561198102421718
274940,76561198102421718
333930,76561198102421718
440,76561198087407319
730,76561198056741844
294100,sad-commie
212070,sad-commie
264140,sad-commie
332800,76561198030567998
319630,76561198030567998
6020,76561198030567998
55230,76561198030567998
32430,76561198030567998
440,76561198010674657
35450,Coldaniel
440,Coldaniel
236390,Coldaniel
351570,therealmorty
212680,therealmorty
391540,Berserklejerker
550,76561198061730629
440,YoHuNz
570,YoHuNz
72850,possessioniskey
440,possessioniskey
113400,possessioniskey
440,76561198093112529
200510,76561198060447950
730,whiteofwolfing
383080,sergarino
200210,76561198081962345
1250,76561198081962345
304050,76561198073210139
265610,Nozomikat
264200,Nozomikat
417860,Nozomikat
333600,Nozomikat
213670,Nozomikat
91310,Nozomikat
210770,Nozomikat
351640,xfluttersx
105600,xfluttersx
440,xfluttersx
47870,xfluttersx
383080,xfluttersx
410,xfluttersx
730,76561198056290589
339280,ii_voltage_ii
271290,ii_voltage_ii
203290,ii_voltage_ii
440,76561198097762318
233150,76561198097762318
550,Hirukaz
730,StelerForYou
211820,StelerForYou
440,76561198183396245
224260,Xx-Woods
317360,Xx-Woods
295550,Xx-Woods
250180,Xx-Woods
227940,Xx-Woods
17520,Xx-Woods
113420,Xx-Woods
320760,kevinator23
8850,kevinator23
233720,kevinator23
218620,kevinator23
730,kevinator23
219740,kevinator23
220240,kevinator23
440,kevinator23
4000,76561198090715178
304930,76561198090715178
333950,CatsWhale
388520,CatsWhale
107410,CatsWhale
206210,CatsWhale
221100,76561198073784601
730,mimimomoma
440,76561198102410011
209870,de_Butl3r
322170,76561198027947401
304050,76561198027947401
440,Bluezap1
730,Bluezap1
362890,Bluezap1
413850,Bluezap1
730,76561198074200011
346110,jonasdbomb
570,L1J1N
311560,Lord_Exploit
322170,Lord_Exploit
440,AVATAR715
248570,AVATAR715
264140,AVATAR715
4000,AVATAR715
266430,AVATAR715
316010,AVATAR715
249570,AVATAR715
730,YieuwMage
240,76561198078752187
304930,A-Very-Sly-Person
440,A-Very-Sly-Person
730,76561198211054671
333930,76561198211054671
365590,76561197994493402
264200,76561197994493402
440,76561197994493402
383080,76561198065656175
440,76561198188979775
301520,97396295
243870,97396295
251570,76561198126640317
221100,76561198126640317
316010,76561198126640317
218230,76561198126640317
333930,76561198126640317
222880,76561198126640317
730,76561198126640317
55230,DemonicWolvz
232090,DemonicWolvz
4000,DemonicWolvz
206420,DemonicWolvz
224260,DemonicWolvz
550,DemonicWolvz
346110,DieMadchenschanderin
454890,DieMadchenschanderin
233250,GGargula
273350,Myther43
730,getf0kinn0sc0pedm9
730,76561198141443390
570,76561198097333029
730,whodafuqisthisguilao
370480,Magjiikal
313740,Magjiikal
1840,ohnospaghet
440,ohnospaghet
266210,ohnospaghet
369200,ohnospaghet
264200,ohnospaghet
292030,76561198050347115
287700,2768820078
310950,2768820078
377160,2768820078
221380,2768820078
333950,2768820078
271590,2768820078
298110,2768820078
222440,2768820078
259530,76561198056392326
47410,2d4nk4m3
730,76561198078478151
365450,exiaez
245620,76561198095921854
70,EizanAratoFujimaki
274980,TeCool
202090,TeCool
339280,TeCool
570,2xDelorean
212680,2xDelorean
200210,2xDelorean
440,2xDelorean
4000,washington_
211820,washington_
10180,washington_
252490,washington_
417860,washington_
251970,jewxxl
359550,76561198088944293
107410,76561198088944293
304930,76561198088944293
400,76561198092540221
620,76561198092540221
238460,76561198092540221
6060,76561198092540221
440,76561198092540221
730,76561198051258119
265610,nubquake123
31280,Pyromanic
4000,Pyromanic
240,Pyromanic
440,76561198109656922
252490,CobRazor
8930,relesprit
304930,WitchHunter4542
237310,WitchHunter4542
224260,WitchHunter4542
230410,pwrt
440,pwrt
440,wantmahbody
570,benedictcuminherbatch
8930,76561198031207016
105600,76561198043458582
221100,76561198043458582
107410,76561198043458582
231430,76561198043458582
218620,smashiroshh
225540,shark854
570,killbunny38
271590,1337lolroflmao
218620,1337lolroflmao
219740,1337lolroflmao
7940,1337lolroflmao
234190,1337lolroflmao
10180,1337lolroflmao
33900,1337lolroflmao
261030,1337lolroflmao
243470,1337lolroflmao
4700,OzfurAtlas
212680,OzfurAtlas
304050,76561198065593074
203750,76561198065593074
730,76561198044169764
4000,76561198044169764
236390,euzi
299740,76561198074935997
730,76561197961778802
440,lucasrash
433340,76561198016602703
440,thisissohardtomakeoneup
4000,76561198087010391
220200,76561198061174192
242760,76561198061174192
352460,ReMiXOfficalSteam
322920,Wilfire77
234792,76561198084390807
252490,76561198084390807
297130,Mastic
397570,Mastic
550,Mastic
206420,Mastic
10180,76561198028286104
242760,tarjla
304930,tarjla
441790,tarjla
265750,tarjla
252490,tarjla
4000,tarjla
211820,tarjla
105600,tarjla
251570,tarjla
730,tarjla
276340,deathnz1
227940,readingthis4noobs
304930,76561198104393251
730,76561198075322986
448530,redsncrimson
304410,redsncrimson
620,redsncrimson
274920,redsncrimson
211820,redsncrimson
219890,redsncrimson
49520,redsncrimson
223510,redsncrimson
440,redsncrimson
252950,76561198151910904
240,H1DD3NT3RR0R
105600,H1DD3NT3RR0R
204300,H1DD3NT3RR0R
730,H1DD3NT3RR0R
570,H1DD3NT3RR0R
268750,76561198071214618
570,76561198115115631
570,76561198071175142
271590,76561198071175142
360870,t8s
730,t8s
230410,pikawuu2
12900,pikawuu2
301520,Sammeh00
6060,Michaelele
730,Michaelele
107410,Michaelele
304930,Michaelele
335670,76561198045754869
215080,76561198076098774
570,76561198103253374
271590,76561198048417105
730,76561198048417105
244160,76561198048417105
270880,76561198048417105
8190,76561198090842891
233630,76561197998052647
221100,76561198145436942
243120,jjas01
234140,jjas01
204450,jjas01
225260,jjas01
50300,jjas01
201810,jjas01
500,3xotic26
440,3xotic26
49520,3xotic26
550,3xotic26
206420,iamthetrashlord
213670,iamthetrashlord
550,3dster
231040,76561198079990063
221100,Forty-Nine
351040,76561198051017916
250600,76561198051017916
227940,L4M1NAS
437220,L4M1NAS
221100,L4M1NAS
264710,76561197995322437
218620,imsojipper
206420,76561198084542731
47790,76561198084542731
570,76561198103671881
236110,mrpfresh
346110,mrpfresh
232790,mrpfresh
440,GamerFag
70,GamerFag
420,GamerFag
380,GamerFag
220,GamerFag
1250,GamerFag
349700,EHS-R3AP3R
226700,EHS-R3AP3R
209160,EHS-R3AP3R
219990,chidori_647
213670,chidori_647
8190,chidori_647
730,76561198092227136
1250,76561198092227136
4000,hellcat59
401650,76561198007584361
35450,tbimperator
230410,Allahu_Akbar666
290020,ulramite
248860,ulramite
211820,ulramite
